A00_ID;REDE;SUBREDE;REDE FIDELIDADE;CNPJ_CPF
197;PINHEIRO;-;-;4163766000903
209;PINHEIRO;-;-;4163766001039
222;PINHEIRO;-;-;4163766000490
225;PINHEIRO;-;-;4163766000300
268;PINHEIRO;-;-;4163766001381
276;PINHEIRO;-;-;4163766000571
322;PINHEIRO;-;-;4163766001543
638;PINHEIRO;-;-;4163766001462
712;PINHEIRO;-;-;4163766001705
3616;PINHEIRO;-;-;4163766001896
4059;PINHEIRO;-;-;4163766001624
4327;PINHEIRO;-;-;4163766002000
5047;PINHEIRO;-;-;4163766001977
9343;PINHEIRO;-;-;4163766002191
9344;PINHEIRO;-;-;4163766002434
9450;PINHEIRO;-;-;4163766002353
10722;PINHEIRO;-;-;4163766002515
2747;REDE AMIGOS;BIG;-;6099597000150
561;REDE AMIGOS;BIG;-;9474014000111
634;REDE AMIGOS;IDALIA;-;14189836000190
2883;REDE AMIGOS;IDALIA;-;14933298000105
3266;REDE AMIGOS;LACERDA;-;1882584000139
627;REDE AMIGOS;LACERDA;-;2329553000118
2185;REDE AMIGOS;SUPER AMIGOS;-;14843255000120
;REDE AMIGOS;SUPER AMIGOS;-;43144738000135
;REDE AMIGOS;SUPER AMIGOS;-;52629596000197
11551;REDE AMIGOS;SUPER AMIGOS;-;52945835000118
;REDE AMIGOS;SUPER AMIGOS;-;59892310000100
2907;REDE AMIGOS;SUPER MACHADO;-;4400402000134
0;REDE AMIGOS;SUPER MACHADO;-;4400402000215
404;REDE AMIGOS;SUPERMERCADO POP;-;35229707000159
3817;REDE AMIGOS;SUPERMERCADO POP;-;28255450000144
11344;REDE AMIGOS;UNICOMPRAS;-;33825645000112
1875;REDE AMIGOS;UNICOMPRAS;-;8530591000110
2385;REDE AMIGOS;UNICOMPRAS;-;8143625000114
4002;REDE AMIGOS;UNICOMPRAS;-;27472047000104
;REDE AMIGOS;UNICOMPRAS;-;59320313000170
;REDE AMIGOS;UNICOMPRAS;-;59373820000171
;REDE AMIGOS;UNICOMPRAS;-;9131778000104
;REDE AMIGOS;-;-;611774000159
;REDE AMIGOS;-;-;97517239000175
4326;REDE AMIGOS;-;-;28277335000170
1926;REDE AMIGOS;-;-;12354841000186
2147;REDE AMIGOS;-;-;11208054000163
;REDE AMIGOS;-;-;10736964000156
2876;REDE AMIGOS;-;-;1593332000190
2944;REDE AMIGOS;-;-;5234474000111
;REDE AMIGOS;-;-;35071343000121
2741;REDE AMIGOS;-;-;14810955000119
;REDE CEARENSE;INHAMUNS;-;3604529000102
;REDE CEARENSE;INHAMUNS;-;3604529000374
4342;REDE CEARENSE;JB SUPERMERCADO;-;15106777000102
11374;REDE CEARENSE;JB SUPERMERCADO;-;15106777000293
11372;REDE CEARENSE;JB SUPERMERCADO;-;15106777000455
11199;REDE CEARENSE;MARINHEIRO SUPERMERCADO;-;50103328000101
2979;REDE CEARENSE;MARINHEIRO SUPERMERCADO;-;30289489000124
11794;REDE CEARENSE;SUPERMERCADO O LALA;-;487479000213
11793;REDE CEARENSE;SUPERMERCADO O LALA;-;487479000132
3731;REDE CEARENSE;QUEIROZ SUPERMERCADO;-;1615904000275
3920;REDE CEARENSE;QUEIROZ SUPERMERCADO;-;1615904000194
5063;REDE CEARENSE;QUEIROZ SUPERMERCADO;-;1615904000356
11957;REDE CEARENSE;QUEIROZ SUPERMERCADO;-;1615904000437
11958;REDE CEARENSE;QUEIROZ SUPERMERCADO;-;22549956000260
11959;REDE CEARENSE;QUEIROZ SUPERMERCADO;-;1615904000518
3660;REDE CEARENSE;SUPER SOFYA;-;22488825000130
11864;REDE CEARENSE;SUPER SOFYA;-;22488825000300
;REDE CEARENSE;SUPER SOL;-;11192641000101
;REDE CEARENSE;SUPER SOL;-;11192641000292
4637;REDE CEARENSE;SUPERMERCADO CENTRAL;-;8107174000160
5106;REDE CEARENSE;SUPERMERCADO CENTRAL;-;8107174000240
;REDE CEARENSE;SUPERMERCADO CENTRAL;-;58837812000176
1419;REDE CEARENSE;SUPERMERCADO J&L;-;5853586000150
4933;REDE CEARENSE;SUPERMERCADO J&L;-;5853586000231
11400;REDE CEARENSE;SUPERMERCADO J&L;-;5853586000312
11394;REDE CEARENSE;SUPERMERCADO J&L;-;5853586000401
669;REDE CEARENSE;O DEIRTON;-;41448556000122
10952;REDE CEARENSE;-;-;20968028000124
11413;REDE CEARENSE;HIPERNACIONAL;-;397134000198
;REDE CEARENSE;-;-;32860958000149
11869;REDE CEARENSE;-;-;5058143000178
2095;REDE CEARENSE;-;-;86886496000168
9373;REDE CEARENSE;-;-;9280267000154
;REDE CEARENSE;-;-;41541319000101
11524;REDE CEARENSE;SUPERMERCADO RABELO;-;630612000168
;REDE CEARENSE;-;-;5999148000103
;REDE CEARENSE;-;-;43415662000135
;REDE CEARENSE;-;-;50049271000100
1596;REDE CEARENSE;-;-;17861524000170
;REDE CEARENSE;-;-;1486156000197
4114;REDE CEARENSE;SUPERMERCADO SERRANO;-;6615306000139
;REDE CEARENSE;SUPERMERCADO SERRANO;-;6615306000210
9618;REDE EXATA;;REDE EXATA;3849211000191
4137;REDE EXATA;;REDE EXATA;5822007000102
4553;REDE EXATA;;REDE EXATA;15444738000115
11143;REDE EXATA;;REDE EXATA;13418141000170
2665;REDE EXATA;;REDE EXATA;72475528000128
12170;REDE EXATA;;REDE EXATA;46146937000170
450;REDE EXATA;SUPERMERCADO ECONOMICO;REDE EXATA;7563039000166
464;REDE EXATA;;REDE EXATA;7209283000125
1226;REDE EXATA;;REDE EXATA;4540758000173
10934;REDE EXATA;;REDE EXATA;51511265000195
4067;REDE EXATA;;REDE EXATA;9415261000147
3021;REDE EXATA;;REDE EXATA;15226462000107
2459;REDE EXATA;;REDE EXATA;18062535000152
2827;REDE EXATA;;REDE EXATA;24154950000139
9399;REDE EXATA;;REDE EXATA;39860294000167
10965;REDE EXATA;;REDE EXATA;37221523000178
3412;REDE EXATA;;REDE EXATA;22094883000189
374;REDE EXATA;;REDE EXATA;19218975000208
4674;REDE EXATA;;REDE EXATA;5916964000106
4592;REDE EXATA;;REDE EXATA;15613558000110
378;REDE EXATA;;REDE EXATA;10709545000125
226;REDE EXATA;SUPER PARCEIRO;REDE EXATA;39540129000128
4535;REDE EXATA;;REDE EXATA;34499128000163
1786;REDE EXATA;;REDE EXATA;20082690000182
10961;REDE EXATA;;REDE EXATA;43716690000192
9420;REDE EXATA;;REDE EXATA;42798657000196
10748;REDE EXATA;;REDE EXATA;36017642000140
3984;REDE EXATA;;REDE EXATA;7224648000190
4196;REDE EXATA;;REDE EXATA;5579402000106
10955;REDE EXATA;;REDE EXATA;63494652000140
10964;REDE EXATA;;REDE EXATA;37173124000189
4531;;MERCADINHO PADRE CICERO;-;2597096000142
4272;REDE EXATA;MERCADINHO PADRE CICERO;REDE EXATA;32085401000188
2939;REDE EXATA;SUPERMERCADO BASTOS;REDE EXATA;117877000167
2860;REDE EXATA;;REDE EXATA;307549000123
10753;REDE EXATA;SUPER PARCEIRO;REDE EXATA;46295495000124
11979;REDE EXATA;;REDE EXATA;289087000169
11974;REDE EXATA;;REDE EXATA;7021926000102
4753;REDE EXATA;PARENTE ATACADISTA;REDE EXATA;37678087000160
10958;REDE EXATA;;REDE EXATA;1659511000182
10956;REDE EXATA;;REDE EXATA;32650099000163
;REDE EXATA;;REDE EXATA;23552593000102
4650;REDE EXATA;;REDE EXATA;32281077000173
;REDE EXATA;;REDE EXATA;7599892000138
4124;REDE EXATA;;REDE EXATA;41307471000124
;REDE EXATA;;REDE EXATA;12245676000124
;REDE EXATA;SUPERMERCADO ESPERANÇA;REDE EXATA;23731291000193
;REDE EXATA;SUPERMERCADO ESPERANÇA;REDE EXATA;47748737000150
;REDE EXATA;;REDE EXATA;58480045000190
1614;REDE EXATA;;REDE EXATA;41587403000166
;REDE EXATA;;REDE EXATA;47659272000161
;REDE EXATA;;REDE EXATA;23258986000108
4589;REDE EXATA;;REDE EXATA;8374047000127
2809;REDE EXATA;;REDE EXATA;97433619000121
2840;REDE EXATA;;REDE EXATA;427273000117
;REDE EXATA;PARENTE ATACADISTA;REDE EXATA;53202563000129
3992;REDE EXATA;MERCANTIL APUIARES;REDE EXATA;7790439000104
;REDE EXATA;MERCANTIL APUIARES;REDE EXATA;7790439000295
;REDE EXATA;NOVO CORDEIRO;REDE EXATA;22373417000132
;REDE EXATA;NOVO CORDEIRO;REDE EXATA;48196437000179
;REDE EXATA;;REDE EXATA;54825350000116
2102;REDE EXATA;;REDE EXATA;9392115000143
4180;REDE EXATA;;REDE EXATA;6314622000170
;REDE EXATA;;REDE EXATA;63478689000184
;REDE EXATA;;REDE EXATA;55332474000122
;REDE EXATA;;REDE EXATA;7009673000151
;REDE EXATA;;REDE EXATA;18118433000101
12345;REDE EXATA;SUPERMERCADO ECONOMICO;REDE EXATA;59680292000101
3106;REDE INTEGRADA;BOM JESUS;-;12289475000200
3119;REDE INTEGRADA;BOM JESUS;-;12289475000129
9371;REDE INTEGRADA;BOM JESUS;-;12289475000552
;REDE INTEGRADA;BOM JESUS;-;7587137000133
2292;REDE INTEGRADA;CLAECK SUPERMERCADO;-;8207869000202
3643;REDE INTEGRADA;CLAECK SUPERMERCADO;-;8207869000113
4888;REDE INTEGRADA;CLAECK SUPERMERCADO;-;8207869000385
9630;REDE INTEGRADA;CLAECK SUPERMERCADO;-;8207869000466
1142;REDE INTEGRADA;CRISOSTOMO;-;17280621000179
11037;REDE INTEGRADA;CRISOSTOMO;-;17280621000250
1770;REDE INTEGRADA;DEUS TE PAGUE;-;1794582000198
;REDE INTEGRADA;DEUS TE PAGUE;-;1794582000279
;REDE INTEGRADA;DEUS TE PAGUE;-;1794582000350
11598;REDE INTEGRADA;HIPER MORADA NOVA;-;1029098000253
11599;REDE INTEGRADA;HIPER MORADA NOVA;-;1029098000334
2415;REDE INTEGRADA;IRMAOS GEMEOS;-;26761823000123
3078;REDE INTEGRADA;IRMAOS GEMEOS;-;3187860000174
5158;REDE INTEGRADA;IRMAOS GEMEOS;-;3187860000255
;REDE INTEGRADA;MACHADO;-;35026657000102
;REDE INTEGRADA;MACHADO;-;35026657000293
595;REDE INTEGRADA;MERCADINHO JALS;-;7451912000129
;REDE INTEGRADA;MERCANTIL QUEIROZ;-;17920032000108
;REDE INTEGRADA;MERCANTIL QUEIROZ;-;29252774000191
1980;REDE INTEGRADA;O IRMAO;-;15346045000190
2030;REDE INTEGRADA;O IRMAO;-;15346045000270
3247;REDE INTEGRADA;O IRMAO;-;15346045000351
2559;REDE INTEGRADA;PARANGABA;-;23556335000196
2569;REDE INTEGRADA;PARANGABA;-;11910584000159
11751;REDE INTEGRADA;SUPER PRECO BOM;-;12351888000439
11264;REDE INTEGRADA;REI DAVI;-;51167063000178
;REDE INTEGRADA;REI DAVI;-;51167063000330
;REDE INTEGRADA;SUPER BETINHO;-;10387586000576
;REDE INTEGRADA;SUPER BETINHO;-;10387586000142
;REDE INTEGRADA;SUPER BETINHO;-;10387586000304
;REDE INTEGRADA;SUPER BETINHO;-;10387586000495
;REDE INTEGRADA;SUPER BETINHO;-;10387586000657
3787;REDE INTEGRADA;SUPER ISRAEL;-;24945386000172
;REDE INTEGRADA;SUPER ISRAEL;-;21522714000482
;REDE INTEGRADA;SUPER ISRAEL;-;21522714000130
3386;REDE INTEGRADA;SUPER ISRAEL;-;21522714000300
;REDE INTEGRADA;SUPER ISRAEL;-;21522714000563
;REDE INTEGRADA;SUPER ISRAEL;-;7358849000180
;REDE INTEGRADA;SUPER MACEDO;-;69373751000150
;REDE INTEGRADA;SUPER MACEDO;-;69373751000311
;REDE INTEGRADA;SUPER MARTRI;-;1631637000149
;REDE INTEGRADA;SUPER MARTRI;-;1949355000194
;REDE INTEGRADA;SUPER MARTRI;-;8686357000187
;REDE INTEGRADA;SUPER MARTRI;-;1631637000220
;REDE INTEGRADA;SUPER MARTRI;-;8686357000268
11386;REDE INTEGRADA;SUPER MARTRI;-;8686357000349
931;REDE INTEGRADA;SUPER PRECO BOM;-;12351888000196
11069;REDE INTEGRADA;SUPER PRECO BOM;-;12351888000358
11203;REDE INTEGRADA;SUPER PRECO BOM;-;12351888000277
9334;REDE INTEGRADA;SUPER VITORIA;-;4963270000159
3286;REDE INTEGRADA;VILLA BOX;-;30698894000104
;REDE INTEGRADA;VILLA BOX;-;35837378000200
;REDE INTEGRADA;VILLA BOX;-;35837378000129
;REDE INTEGRADA;VITORIA REGIA;-;9611913000119
10807;REDE INTEGRADA;VITORIA REGIA;-;9611913000380
455;REDE INTEGRADA;-;-;56301000137
1941;REDE INTEGRADA;-;-;4953404000150
2469;REDE INTEGRADA;-;-;24873190000110
3311;REDE INTEGRADA;-;-;3670355000186
4119;REDE INTEGRADA;-;-;41388042000129
9597;REDE INTEGRADA;-;-;47083145000167
11304;REDE INTEGRADA;-;-;12611863000184
11324;REDE INTEGRADA;-;-;41425836000115
;REDE INTEGRADA;-;-;63317770000182
;REDE INTEGRADA;-;-;33796583000168
2382;REDE INTEGRADA;-;-;2437436000178
1201;REDE INTEGRADA;-;-;5160075000153
;REDE INTEGRADA;-;-;6064727000119
2915;REDE INTEGRADA;-;-;4095361000110
;REDE INTEGRADA;-;-;63471031000140
4883;REDE INTEGRADA;-;-;3881982000166
;REDE INTEGRADA;-;-;74010216000174
;REDE INTEGRADA;-;-;12006861000166
;REDE INTEGRADA;-;-;63392088000154
;REDE INTEGRADA;-;-;4891536000103
816;REDE INTEGRADA;-;-;259539000160
3352;REDE INTEGRADA;-;-;750709000104
;REDE INTEGRADA;-;-;39747997000183
2552;REDE INTEGRADA;-;-;2759343000160
1294;REDE INTEGRADA;-;-;69361269000108
3639;REDE INTEGRADA;-;-;69361376000128
1310;REDE INTEGRADA;-;-;7333941000196
;REDE INTEGRADA;-;-;5102359000193
;REDE INTEGRADA;-;-;27461496000157
11774;REDE INTEGRADA;-;-;50456713000132
1192;REDE INTEGRADA;-;-;8953712000137
437;REDE INTEGRADA;-;-;1029098000172
;REDE INTEGRADA;-;-;22728526000125
4132;REDE INTEGRADA;-;-;7195771000120
36;REDE INTEGRADA;-;-;11209444000158
3798;REDE INTEGRADA;SUPER ISRAEL;-;21522714000210
640;REDE PARCERIA;ANA RISORLANGE;-;1755101000135
;REDE PARCERIA;ANA RISORLANGE;-;4558939000127
;REDE PARCERIA;ANA RISORLANGE;-;1755101000305
535;REDE PARCERIA;ANALI;-;21094769000196
646;REDE PARCERIA;ANALI;-;8781394000174
4227;REDE PARCERIA;ANALI;-;21094769000277
9316;REDE PARCERIA;ANALI;-;8781394000255
11313;REDE PARCERIA;ANALI;-;8781394000336
11546;REDE PARCERIA;ANALI;-;8781394000506
412;REDE PARCERIA;ARARIPE;-;9238322000148
;REDE PARCERIA;ARARIPE;-;9238322000300
;REDE PARCERIA;ARARIPE;-;9238322000490
;REDE PARCERIA;COMPRE CERTO;-;10386811000126
;REDE PARCERIA;COMPRE CERTO;-;10386811000479
;REDE PARCERIA;COMPRE CERTO;-;10386811000207
;REDE PARCERIA;COMPRE CERTO;-;10386811000550
;REDE PARCERIA;COMPRE CERTO;-;10386811000711
151;REDE PARCERIA;COMPRE MAX;-;6339545000294
348;REDE PARCERIA;COMPRE MAX;-;6339545000103
709;REDE PARCERIA;COMPRE MAX;-;6339545000537
718;REDE PARCERIA;COMPRE MAX;-;6339545000375
2499;REDE PARCERIA;COMPRE MAX;-;28102883000160
4089;REDE PARCERIA;COMPRE MAX;-;28102883000240
4381;REDE PARCERIA;COMPRE MAX;-;28102883000321
9294;REDE PARCERIA;COMPRE MAX;-;6339545000618
9607;REDE PARCERIA;COMPRE MAX;-;28102883000402
11163;REDE PARCERIA;COMPRE MAX;-;28102883000593
11411;REDE PARCERIA;COMPRE MAX;-;6339545000707
11844;REDE PARCERIA;COMPRE MAX;-;28102883000674
11071;REDE PARCERIA;MAE RAINHA;-;5377917000638
11219;REDE PARCERIA;MAE RAINHA;-;5377917000123
11220;REDE PARCERIA;MAE RAINHA;-;5377917000395
11221;REDE PARCERIA;MAE RAINHA;-;5377917000476
11222;REDE PARCERIA;MAE RAINHA;-;5377917000557
11983;REDE PARCERIA;MAE RAINHA;-;5377917000719
;REDE PARCERIA;MAE RAINHA;-;5377917000204
11658;REDE PARCERIA;MAIS COMPRAS;-;10283983000417
9338;REDE PARCERIA;MAIS COMPRAS;-;10283983000174
2412;REDE PARCERIA;MEDEIROS;-;63563647000141
3081;REDE PARCERIA;MEDEIROS;-;63563647000303
3665;REDE PARCERIA;MEDEIROS;-;63563647000494
;REDE PARCERIA;MEDEIROS;-;63563647000656
;REDE PARCERIA;MEDEIROS;-;63563647000575
11668;REDE PARCERIA;MERCADAO TEND TUDO;-;14182434000164
11669;REDE PARCERIA;MERCADAO TEND TUDO;-;14182434000679
;REDE PARCERIA;MERCADAO TEND TUDO;-;14182434000245
631;REDE PARCERIA;MIRELLY;-;945396000140
11412;REDE PARCERIA;MIRELLY;-;945396000220
2368;REDE PARCERIA;RMC/MFC;-;10520211000109
3715;REDE PARCERIA;RMC/MFC;-;5867155000143
11802;REDE PARCERIA;SEMPRE AKI;-;3316370000120
11803;REDE PARCERIA;SEMPRE AKI;-;26760524000174
11804;REDE PARCERIA;SEMPRE AKI;-;35280136000187
10749;REDE PARCERIA;SUPER LUA;-;11000923000240
11645;REDE PARCERIA;SUPER LUA;-;11000923000160
153;REDE PARCERIA;SUPER PORTUGAL;-;1377961000182
368;REDE PARCERIA;SUPER PORTUGAL;-;1377961000859
611;REDE PARCERIA;SUPER PORTUGAL;-;1377961000425
620;REDE PARCERIA;SUPER PORTUGAL;-;1377961000344
884;REDE PARCERIA;SUPER PORTUGAL;-;1377961000506
2807;REDE PARCERIA;SUPER PORTUGAL;-;1377961000778
9319;REDE PARCERIA;SUPER PORTUGAL;-;1377961001073
10978;REDE PARCERIA;SUPER PORTUGAL;-;1377961001154
11743;REDE PARCERIA;SUPER PORTUGAL;-;1377961000930
4793;REDE PARCERIA;SUPER TELEFRANGO;-;9517617000153
4822;REDE PARCERIA;SUPER TELEFRANGO;-;9517617000234
4828;REDE PARCERIA;SUPER TELEFRANGO;-;9517617000404
4832;REDE PARCERIA;SUPER TELEFRANGO;-;9517617000315
9593;REDE PARCERIA;SUPER TELEFRANGO;-;9517617000587
;REDE PARCERIA;SUPER TELEFRANGO;-;9517617000668
;REDE PARCERIA;SUPER VILTON;-;2114945000160
;REDE PARCERIA;SUPER VILTON;-;2114945000240
2355;REDE PARCERIA;SUPERMERCADO VAREJAO;-;4787140000293
2362;REDE PARCERIA;SUPERMERCADO VAREJAO;-;4787140000102
11703;REDE PARCERIA;SUPERMERCADO VAREJAO;-;4787140000374
;REDE PARCERIA;-;-;10172770000175
;REDE PARCERIA;-;-;5277359000124
;REDE PARCERIA;-;-;73770067000189
330;REDE PARCERIA;-;-;4041424000155
622;REDE PARCERIA;SUPER PORTUGAL;-;1377961000263
1830;REDE POUPE MAX;AURISTELA;-;35086396000116
;REDE POUPE MAX;AURISTELA;-;47034999000153
2970;REDE POUPE MAX;DANIEL SUPERMERCADO;-;2176544000134
;REDE POUPE MAX;DANIEL SUPERMERCADO;-;2176544000215
4889;REDE POUPE MAX;DANIEL SUPERMERCADO;-;11335733000101
9717;REDE POUPE MAX;DANIEL SUPERMERCADO;-;11335733000284
2347;REDE POUPE MAX;O VAREJAO;-;11665449000195
2240;REDE POUPE MAX;SUPER CUMBUCO;SUPER CUMBUCO;12981026000147
9296;REDE POUPE MAX;SUPER CUMBUCO;SUPER CUMBUCO;12981026000309
